2015-03-24 09:00:14 - Pristatymo modulis | RateID: 1 | Description: PRISTATYMAS (KURJERIU FIKSUOTA KAINA 5) | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (99999:5.00) | RateCost: 5 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 5 | Name: Pristatymas kurjeriu | Image:  | Instruction:  | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:00:14 - Pristatymo modulis | RateID: 2 | Description: PRISTATYMAS LIETUVOS PAšTU | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (999999:1.00) | RateCost: 1 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 1 | Name: Pristatymas Lietuvos paštu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x62.png | Instruction:  | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:21:01 - Pristatymo modulis | RateID: 1 | Description: PRISTATYMAS (KURJERIU FIKSUOTA KAINA 5) | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (99999:5.00) | RateCost: 5 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 5 | Name: Pristatymas kurjeriu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x60.png | Instruction:  | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:21:01 - Pristatymo modulis | RateID: 2 | Description: PRISTATYMAS LIETUVOS PAšTU | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (999999:1.00) | RateCost: 1 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 1 | Name: Pristatymas Lietuvos paštu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x62.png | Instruction:  | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:21:38 - Pristatymo modulis | RateID: 1 | Description: PRISTATYMAS (KURJERIU FIKSUOTA KAINA 5) | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (99999:5.00) | RateCost: 5 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 5 | Name: Pristatymas kurjeriu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x60.png | Instruction:  | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:21:38 - Pristatymo modulis | RateID: 2 | Description: PRISTATYMAS LIETUVOS PAšTU | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (999999:1.00) | RateCost: 1 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 1 | Name: Pristatymas Lietuvos paštu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x62.png | Instruction:  | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:24:18 - Pristatymo modulis | RateID: 1 | Description: PRISTATYMAS (KURJERIU FIKSUOTA KAINA 5) | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (99999:5.00) | RateCost: 5 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 5 | Name: Pristatymas kurjeriu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x60.png | Instruction: Per 1-2 darbo dienas | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:24:18 - Pristatymo modulis | RateID: 2 | Description: PRISTATYMAS LIETUVOS PAšTU | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (999999:1.00) | RateCost: 1 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 1 | Name: Pristatymas Lietuvos paštu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x62.png | Instruction:  | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:26:41 - Pristatymo modulis | RateID: 1 | Description: PRISTATYMAS (KURJERIU FIKSUOTA KAINA 5) | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (99999:5.00) | RateCost: 5 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 5 | Name: Pristatymas kurjeriu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\logo-50x60.png | Instruction: Per 1-2 darbo dienas | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:26:41 - Pristatymo modulis | RateID: 2 | Description: PRISTATYMAS LIETUVOS PAšTU | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (999999:1.00) | RateCost: 1 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 1 | Name: Pristatymas Lietuvos paštu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\demo\logo mazesnis-190x62.png | Instruction: Pristatymas per 3-4 dienas | Rate Group: A | Calculation Method: SINGLE
2015-03-24 09:29:54 - Pristatymo modulis | RateID: 1 | Description: PRISTATYMAS (KURJERIU FIKSUOTA KAINA 5) | LanguageCode: LT | RateStatus: ENABLED | CustomerAddress: FOUND | CartTotal: 5500 | CartTotal After excludeProduct: 5500 | CartTotal After getValueAdd: 5500 | CartQuantity: 1 | CartQuantity After excludeProduct: 1 | CartQuantity After getValueAdd: 1 | CartWeight: 0 | CartWeight After excludeProduct: 0 | CartWeight After getValueAdd: 0 | CartVolume: 0 | CartVolume After excludeProduct: 0 | CartVolume After getValueAdd: 0 | CartDistance: 0 | CartDistance After excludeProduct: 0 | CartDistance After getValueAdd: 0 | CartLength: 0 | CartLength After excludeProduct: 0 | CartLength After getValueAdd: 0 | CartWidth: 0 | CartWidth After excludeProduct: 0 | CartWidth After getValueAdd: 0 | CartHeight: 0 | CartHeight After excludeProduct: 0 | CartHeight After getValueAdd: 0 | checkCartValues: PASSED | Rates: FOUND | checkDateTime: PASSED | StoreId: 0 | SelectedStores: 0, | checkStores: PASSED | CustomerGroupId: 1 | SelectedCustomerGroups: -1,0,1, | checkCustomer: PASSED | checkProducts: PASSED | checkCategories: PASSED | GeoZone: Lietuva | checkGeoZones: PASSED | CurrencyCode: EUR | SelectedCurrencies: 0, | checkCurrencies: PASSED | RateType: QUANTITY | SplitStatus: DISABLED | FinalCost: SINGLE | RatesFound: SUCCESS (99999:5.00) | RateCost: 5 | CostAdd: NO ADD VALUE | FreightFee: NO FREIGHT FEE VALUE | ShippingCost: 5 | Name: Pristatymas kurjeriu | Image: http://localhost/OC2.0.1.1/image/cache/catalog\logo-50x60.png | Instruction: Per 1-2 darbo dienas | Rate Group: A | Calculation Method: SINGLE
